States/UTs,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2019,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2020 - Number,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2020 - Rank,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2019,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2020,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2018,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2019,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2020,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2016","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2018"
Andhra Pradesh,27475,23456,24619,19675,7,5.833642975,4.996825857,5.454392382,5.649206527,30.85865109,26.15201079,27.25451124,21.63300311,31.48074181,24.36640187,22.80378454,16.40566853,1575.70085,1329.150122,1128.330253
Arunachal Pradesh,316,323,309,185,30,0.067094856,0.06880861,0.068459614,0.053118333,23.81311228,24.08650261,22.82127031,13.53328456,11.93565323,17.95751352,14.72318974,8.038026382,102.9573958,87.23743591,61.12179743
Assam,6163,7375,7473,5269,17,1.308562026,1.571094419,1.655659217,1.512867557,18.78390735,22.23662787,22.29681346,15.56297259,21.87485581,24.35066275,21.71123333,13.38492886,187.0296188,218.3390218,217.4852786
Bihar,6014,6679,7206,7016,15,1.276925527,1.422825712,1.596504793,2.014476899,5.724130054,6.289551002,6.716188381,6.473996973,10.96979039,10.69333441,9.78541346,8.202794211,291.2574763,318.732481,247.994426
Chhattisgarh,12550,12715,13090,10505,11,2.664684962,2.708673293,2.900117644,3.016259953,47.92637287,48.00286922,48.87611082,38.81253233,26.08902448,24.25586109,22.594821,16.47774383,1309.893853,1299.510095,1276.102461
Goa,1922,1549,1448,880,23,0.408089601,0.329983085,0.320807513,0.252670991,95.00741473,74.9032882,68.39867737,40.55299539,16.59412851,12.50561097,10.92465759,6.276519185,1196.53267,929.8253988,778.2028562
Gujarat,16802,17467,16258,12002,10,3.567492967,3.720990674,3.601994856,3.446087763,26.44651514,27.19784498,25.05432186,18.31471647,8.251930525,7.926380817,6.825123035,4.762493361,937.9052783,965.4190617,805.880351
Haryana,10339,10020,9362,7659,14,2.195233293,2.134558112,2.074171229,2.199098998,37.09989953,35.46526033,32.69882295,26.40852355,11.97619911,10.69329589,12.10655319,8.906157773,2132.538319,1231.171493,1871.616878
Himachal Pradesh,5452,5551,4904,3223,20,1.157598599,1.182528152,1.086491744,0.925407504,76.24108516,77.03302803,67.55751481,44.0842566,46.37986916,40.94225453,32.80581353,19.71462424,977.7839313,883.7463586,792.2595211
Jammu & Kashmir,7419,7845,7532,5894,16,1.575242847,1.671218402,1.668730794,1.692321386,59.13909924,61.94236084,58.93583725,45.73246431,54.32967767,51.92458525,44.98951121,31.79691407,1492.262621,1237.662032,693.0656591
Jharkhand,3918,3975,3818,3295,19,0.831891289,0.846793263,0.845886109,0.946080585,11.50019079,11.52741931,10.94390461,9.340098645,15.81740625,11.74178009,9.498176365,7.19796456,586.6537529,568.9094302,482.9104896
Karnataka,52961,51562,50447,39492,3,11.24497054,10.98424006,11.17664131,11.33918496,84.18266785,81.28320328,78.90233984,61.31346064,32.50783448,28.85174616,26.02808941,18.74274669,1532.81134,1428.146558,1423.02697
Kerala,42671,45458,46055,30510,4,9.060141196,9.683906454,10.20358427,8.760218101,118.9501854,126.0551273,127.0798267,83.79566053,41.95024034,40.21755238,37.317708,22.8796675,2124.966453,1889.654684,1791.432064
Madhya Pradesh,57532,54662,52816,46456,2,12.21551038,11.64463229,11.70149836,13.3387313,72.85851781,68.29164689,65.1237346,56.56122921,51.63969866,41.41414509,40.01554072,35.19694713,1984.275503,1595.253414,1451.100909
Maharashtra,32128,31365,28628,19914,6,6.821593503,6.681678163,6.342594952,5.717829671,26.44083977,25.5153507,23.02655921,15.84109585,11.5278631,10.37988046,8.713879693,5.626668748,523.7541892,502.6664858,456.9359305
Manipur,1027,1042,1055,663,25,0.218058283,0.221977001,0.233737518,0.190364621,39.21344024,39.38019652,39.46876169,24.57375834,33.55781453,30.62805142,34.26247982,18.31643506,414.5188977,377.3728404,361.544174
Meghalaya,354,205,222,220,28,0.075163225,0.043671099,0.049184577,0.063167748,12.62932572,7.238700565,7.762237762,7.620367163,6.338758284,3.515649786,6.674162573,6.014149654,162.9320403,89.36895275,50.64369505
Mizoram,55,80,56,68,34,0.011677902,0.01704238,0.01240692,0.019524577,5.121042831,7.373271889,5.109489051,6.148282098,3.210910089,4.277480136,2.693874802,2.911370185,67.83440512,72.64753875,41.87114365
Nagaland,375,335,246,286,27,0.079622061,0.071364967,0.054501829,0.082118072,15.59251559,13.78600823,10.02444988,11.54622527,9.85897719,8.167185953,5.476378111,5.840453513,103.8381056,92.44311989,67.02444278
Odisha,11198,11794,11177,8822,12,2.377620893,2.512472892,2.476288381,2.533026683,26.15866193,27.34396736,25.72382048,20.15904209,19.19649355,17.98512057,15.05537433,10.65346098,388.7076775,388.383302,362.9183104
Punjab,4218,3384,3812,2904,21,0.895588938,0.72089268,0.844556796,0.83381427,14.36061555,11.42278481,12.76282309,9.647520016,4.653330209,3.438015696,3.937619513,2.750147143,389.1915114,242.5937713,267.2546831
Rajasthan,22071,21547,22979,16769,9,4.686236,4.590152061,5.091046856,4.814818005,29.85633894,28.77383687,30.3041093,21.84629815,16.19047885,14.4605284,14.11485966,9.46868904,867.984651,811.2599987,733.2404047
Sikkim,479,370,318,218,29,0.101703912,0.078821008,0.070453584,0.062593495,73.35375191,56.06060606,47.67616192,32.3922734,97.74512805,68.3842827,51.83881064,30.37480842,581.1047541,324.9553406,235.3853458
Tamil Nadu,74571,74537,67137,50551,1,15.83332449,15.87859861,14.8743467,14.51451279,106.9424925,106.4099819,95.44097578,71.58474588,30.81020031,28.54843045,23.94124782,16.75251095,2856.746851,2851.06019,2486.48796
Telangana,23990,23613,21999,18661,8,5.093688625,5.030271528,4.873925749,5.358060635,NA,0,0,0,27.54561877,NA,20.0625579,15.38636337,1941.375651,1872.038773,1717.725529
Tripura,718,741,816,470,26,0.152449705,0.157855046,0.180786554,0.134949279,18.56736488,18.97081413,20.67916878,11.80015064,22.47387959,19.36308262,18.75301634,9.478500945,182.395251,172.6248245,188.8231068
Uttarakhand,1631,1571,1457,854,24,0.346302882,0.33466974,0.322801483,0.245205712,15.15658396,14.43005419,13.23342416,7.673645431,8.637764667,7.35028187,5.873957846,3.10242545,267.2961154,225.1453732,275.6963523
Uttar Pradesh,27494,29664,28932,22410,5,5.837677159,6.319314555,6.409946805,6.434496481,12.41437854,13.19402746,12.68101967,9.670946165,11.48628827,11.29401187,9.84255183,6.850685683,650.8812073,692.9944746,663.0719589
West Bengal,10091,11997,9757,8314,13,2.14257657,2.555717932,2.161684328,2.387166611,10.69709755,12.61394821,10.1767927,8.603686111,15.55239675,16.11293046,11.37781132,8.526281386,318.5991574,372.5006305,296.4519413
Andaman & Nicobar Islands,263,260,207,145,32,0.055841605,0.055387735,0.045861295,0.041633288,46.71403197,45.2173913,35.20408163,24.12645591,23.66618974,21.38879063,15.78477798,10.27996966,1761.789925,1608.039206,1153.734253
Chandigarh,302,300,275,148,31,0.064122299,0.063908926,0.060926841,0.042494667,16.24529317,15.45595054,13.56015779,6.974552309,3.608395853,3.39832055,2.892337724,1.463491812,1070.553746,1063.528077,1082.975623
Dadra & Nagar Haveli,60,66,105,119,33,0.01273953,0.014059964,0.023262976,0.034168009,13.72997712,14.60176991,22.43589744,24.48559671,5.69681548,5.92917333,8.934193285,9.633911368,529.2288694,556.1037015,884.5613713
Daman & Diu,70,94,74,NA,NA,0.014862785,0.020024797,0.016394859,0,20.34883721,26.18384401,19.78609626,0,6.633373449,8.090963083,NA,NA,1412.40088,2205.014767,2020.312329
Delhi,6604,6086,5152,3662,18,1.402197569,1.296499069,1.141436677,1.051455873,30.16075996,27.02126715,22.24140908,15.37492653,6.80492143,5.931743816,4.821090474,3.214663218,3746.97374,3403.362865,2927.880429
Lakshadweep,1,3,1,1,35,0.000212325,0.000639089,0.000221552,0.000287126,1.219512195,3.614457831,1.19047619,1.176470588,0.624687656,1.658649859,0.552883286,0.552883286,47.81028877,141.2895022,44.55533773
Puducherry,1741,1727,1619,1019,22,0.369658687,0.367902381,0.358692931,0.292581522,100.4616272,96.05116796,86.67023555,52.41769547,20.16649813,18.56326559,16.22470464,9.590055705,5485.93194,5326.653067,3771.383793
Total ,470975,469418,451361,348279,NA,100,100,100,100,36.69169781,36.16351693,34.39619704,26.25641466,20.40676345,17.81844855,16.53411703,11.71908281,998.0623305,939.273429,849.0936855
