Years,Total Number of Road Accidents (in numbers) ,Total Number of Persons Killed (in numbers) ,Total Number of Persons Injured (in numbers),Population of India (in thousands),Total Number of Registered Motor Vehicles (in thousands) ,Road Length (in kms),Number of Accidents per Lakh Population,Number of Accidents per Ten Thousand Vehicles,Number of Accidents per Ten Thousand Kms of Roads ,Number of Persons Killed Per Lakh Population,Number of Persons Killed Per Ten Thousand Vehicles ,Number of Persons Killed per Ten Thousand Kms of Roads ,Number of Persons Injured per Lakh Population ,Number of Persons Injured Per Ten Thousand Vehicles,Number of Persons Injured Per Ten Thousand Kms of Roads 
1970,114100.0,14500.0,70100.0,539000.0,1401.0,1188728.0,21.2,814.4,959.8,2.7,103.5,122.0,13.0,500.4,589.7
1980,153200.0,24000.0,109100.0,673000.0,4521.0,1491873.0,22.8,338.9,1026.9,3.6,53.1,160.9,16.2,241.3,731.3
1990,282600.0,54100.0,244100.0,835000.0,19152.0,1983867.0,33.8,147.6,1424.5,6.5,28.2,272.7,29.2,127.5,1230.4
1994,325864.0,64463.0,311500.0,904000.0,27660.0,2890950.0,36.0,117.8,1127.2,7.1,23.3,223.0,34.5,112.6,1077.5
1995,351999.0,70781.0,323200.0,924359.0,30295.0,2975035.0,38.1,116.2,1183.2,7.7,23.4,237.9,35.0,106.7,1086.4
1996,371204.0,74665.0,369502.0,941579.0,33786.0,3202515.0,39.4,109.9,1159.1,7.9,22.1,233.1,39.2,109.4,1153.8
1997,373671.0,76977.0,378361.0,959792.0,37332.0,3298788.0,38.9,100.1,1132.8,8.0,20.6,233.3,39.4,101.4,1147.0
1998,385018.0,79919.0,390674.0,978081.0,41368.0,3228356.0,39.4,93.1,1192.6,8.2,19.3,247.6,39.9,94.4,1210.1
1999,386456.0,81966.0,375051.0,996130.0,44875.0,3296650.0,38.8,86.1,1172.3,8.2,18.3,248.6,37.7,83.6,1137.7
2000,391449.0,78911.0,399265.0,1014825.0,48857.0,3316078.0,38.6,80.1,1180.5,7.8,16.2,238.0,39.3,81.7,1204.0
2001,405637.0,80888.0,405216.0,1028610.0,54991.0,3373520.0,39.4,73.8,1202.4,7.9,14.7,239.8,39.4,73.7,1201.2
2002,407497.0,84674.0,408711.0,1045547.0,58924.0,3426603.0,39.0,69.2,1189.2,8.1,14.4,247.1,39.1,69.4,1192.8
2003,406726.0,85998.0,435122.0,1062388.0,67007.0,3528654.0,38.3,60.7,1152.6,8.1,12.8,243.7,41.0,64.9,1233.1
2004,429910.0,92618.0,464521.0,1079117.0,72718.0,3621507.0,39.8,59.1,1187.1,8.6,12.7,255.7,43.0,63.9,1282.7
2005,439255.0,94968.0,465282.0,1095722.0,81502.0,3809156.0,40.1,53.9,1153.2,8.7,11.7,249.3,42.5,57.1,1221.5
2006,460920.0,105749.0,496481.0,1112186.0,89618.0,3880651.0,41.4,51.4,1187.7,9.5,11.8,272.5,44.6,55.4,1279.4
2007,479216.0,114444.0,513340.0,1128521.0,96707.0,4016401.0,42.5,49.6,1193.1,10.1,11.8,284.9,45.5,53.1,1278.1
2008,484704.0,119860.0,523193.0,1144734.0,105353.0,4109592.0,42.3,46.0,1179.4,10.5,11.4,291.7,45.7,49.7,1273.1
2009,486384.0,125660.0,515458.0,1160813.0,114951.0,4471510.0,41.9,42.3,1087.7,10.8,10.9,281.0,44.4,44.8,1152.8
2010,499628.0,134513.0,527512.0,1176742.0,127746.0,4582439.0,42.5,39.1,1090.3,11.4,10.5,293.5,44.8,41.3,1151.2
2011,497686.0,142485.0,511394.0,1210193.422,141866.0,4676838.0,41.1,35.1,1064.2,11.8,10.0,304.7,42.3,36.0,1093.5
2012,490383.0,138258.0,509667.0,1208116.0,159491.0,4865394.0,40.6,30.7,1007.9,11.4,8.7,284.2,42.2,32.0,1047.5
2013,486476.0,137572.0,494893.0,1223581.0,181508.0,5231922.0,39.8,26.8,929.8,11.2,7.6,262.9,40.4,27.3,945.9
2014,489400.0,139671.0,493474.0,1238887.0,190704.0,5402486.0,39.5,25.7,905.9,11.3,7.3,258.5,39.8,25.9,913.4
2015,501423.0,146133.0,500279.0,1254019.0,210023.0,5472144.0,40.0,23.9,916.3,11.7,7.0,267.0,39.9,23.8,914.2
2016,480652.0,150785.0,494624.0,1268961.0,230031.0,5603293.0,37.9,20.9,857.8,11.9,6.6,269.1,39.0,21.5,882.7
2017,464910.0,147913.0,470975.0,1283601.0,253311.0,5897671.0,36.2,18.4,788.3,11.5,5.8,250.8,36.7,18.6,798.6
2018,467044.0,151417.0,469418.0,1298043.0,272988.0,6215797.342,36.0,17.1,751.4,11.7,5.5,243.6,36.2,17.2,755.2
2019,449002.0,151113.0,451361.0,1312241.0,297190.0,6331757.0,34.2,15.1,709.1270242998902,11.5,5.1,238.65887462200462,34.4,15.2,712.8526884401913
2020,366138.0,131714.0,348279.0,1326155.0,326299.0,6671083.0,27.6,11.220935399740728,548.8434186772972,9.93,4.036604464003874,197.44020573571038,26.26,10.673615303755144,522.0726529710394
CAGR 2009/2020,-3.06071691,-0.210058501,-4.066675581,1.20251451,-100.0,-100.0,,,,,,,,,
