States/UTs,Total Number of Persons Killed in Road Accidents - 2017,Total Number of Persons Killed in Road Accidents - 2018,Total Number of Persons Killed in Road Accidents - 2019,Total Number of Persons Killed in Road Accidents - 2020,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2019,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2020,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2018,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2019,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2020,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2020","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2018","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2020"
Andhra Pradesh,8060,7556,7984,7039.0,5.4,5.0,5.3,5.3,9.1,8.4,8.8,7.7,8.4,7.0,6.7,5.4,456.7,346.3,452.7,499.43806861499365
Arunachal Pradesh,110,175,127,73.0,0.1,0.1,0.1,0.0,8.3,13.0,9.4,5.3,6.1,8.3,5.5,3.2,29.7,34.6,23.0,22.057837837837837
Assam,2783,2966,3208,2629.0,1.9,2.0,2.1,1.7,8.5,8.9,9.6,7.8,9.2,8.6,8.1,6.0,82.4,86.3,80.4,93.40459290187891
Bihar,5554,6729,7205,6699.0,3.8,4.4,4.8,4.4,5.3,6.3,6.7,6.2,8.9,9.1,8.4,6.8,265.0,231.6,241.6,230.68392246294184
Chhattisgarh,4136,4592,5003,4606.0,2.8,3.0,3.3,3.0,15.8,17.3,18.7,17.0,7.9,7.9,7.8,6.6,422.7,447.7,476.1,546.2308234174203
Goa,328,262,297,223.0,0.2,0.2,0.2,0.1,16.2,12.7,14.0,10.3,2.6,2.0,2.1,1.5,196.9,140.8,158.8,196.23999999999998
Gujarat,7289,7996,7390,6170.0,4.9,5.3,4.9,4.1,11.5,12.5,11.4,9.4,3.3,3.4,2.9,2.3,402.9,396.3,296.3,335.18080319946677
Haryana,5120,5118,5057,4507.0,3.5,3.4,3.3,3.0,18.4,18.1,17.7,15.5,5.5,6.6,5.9,5.2,629.1,1023.2,1005.5,1095.4146102624366
Himachal Pradesh,1203,1208,1146,893.0,0.8,0.8,0.8,0.6,16.8,16.8,15.8,12.2,8.9,8.1,7.0,5.2,191.5,195.2,156.5,185.5544834005585
Jammu and Kashmir,926,984,996,728.0,0.6,0.6,0.7,0.5,7.4,7.8,7.8,5.6,6.1,5.9,5.4,6.0,146.1,90.5,467.8,58.03990498812352
Jharkhand,3256,3542,3801,3044.0,2.2,2.3,2.5,2.0,9.6,10.3,10.9,8.6,9.6,8.8,8.3,3.7,466.0,448.0,305.8,1300.744157814871
Karnataka,10609,10990,10958,9760.0,7.2,7.3,7.3,6.5,16.9,17.3,17.1,15.2,5.9,5.7,5.2,2.1,293.8,310.0,170.8,437.88027955028866
Kerala,4131,4303,4440,2979.0,2.8,2.8,2.9,2.0,11.5,11.9,12.3,8.2,3.7,3.5,3.3,6.2,171.7,167.4,308.2,141.2657227138643
Madhya Pradesh,10177,10706,11249,11141.0,6.9,7.1,7.4,7.4,12.9,13.4,13.9,13.6,7.7,8.1,8.5,3.1,297.0,294.1,200.8,107.79833605992768
Maharashtra,12264,13261,12788,11569.0,8.3,8.8,8.5,7.7,10.1,10.8,10.3,9.2,4.1,4.0,3.6,3.5,196.5,211.7,48.2,189.21478859094103
Manipur,136,134,156,127.0,0.1,0.1,0.1,0.1,5.2,5.1,5.8,4.7,4.0,4.4,4.3,3.9,49.3,45.9,44.5,10.554600301659125
Meghalaya,182,182,179,144.0,0.1,0.1,0.1,0.1,6.5,6.4,6.3,5.0,3.1,5.5,4.9,1.6,79.3,41.5,29.5,22.581818181818182
Mizoram,60,45,48,42.0,0.0,0.0,0.0,0.0,5.6,4.1,4.4,3.8,3.2,2.2,2.1,1.0,54.5,33.6,6.9,40.14705882352941
Nagaland,41,39,26,53.0,0.0,0.0,0.0,0.0,1.7,1.6,1.1,2.1,1.0,0.9,0.5,5.2,11.3,10.6,174.5,67.76958041958042
Odisha,4790,5315,5333,4738.0,3.2,3.5,3.5,3.1,11.2,12.3,12.3,10.8,7.3,7.2,6.4,3.4,157.7,172.6,306.0,138.45572432554977
Punjab,4463,4740,4525,3898.0,3.0,3.1,3.0,2.6,15.2,16.0,15.1,12.9,4.5,4.9,4.3,4.8,319.9,332.3,337.0,984.0302341597796
Rajasthan,10444,10320,10563,9250.0,7.1,6.8,7.0,6.1,14.1,13.8,13.9,12.1,7.0,6.3,6.0,8.7,393.2,329.3,59.9,143.9710179497883
Sikkim,78,85,73,47.0,0.1,0.1,0.0,0.0,11.9,12.9,10.9,7.0,14.4,13.9,10.2,4.5,68.5,62.9,668.6,501.99449541284406
Tamil Nadu,16157,12216,10525,8059.0,10.9,8.1,7.0,5.3,23.2,17.4,15.0,11.4,6.2,4.4,3.5,5.3,618.0,452.4,495.5,249.52912504203678
Telangana,6596,6603,6964,6882.0,4.5,4.4,4.6,4.6,18.843736,18.863734,19.895054,19.660793,6.7,6.0,5.7,3.5,522.9,515.6,53.0,66.71420609827983
Tripura,161,213,239,192.0,0.1,0.1,0.2,0.1,4.2,5.5,6.1,4.8,4.2,4.9,4.8,2.3,37.5,49.3,126.2,86.60425531914895
Uttarakhand,942,1047,867,674.0,0.6,0.7,0.6,0.4,8.8,9.6,7.9,6.1,4.4,4.2,3.1,5.5,135.0,198.1,511.5,515.5231850117096
Uttar Pradesh,20124,22256,22655,19149.0,13.6,14.7,15.0,12.7,9.1,9.9,9.9,8.3,7.7,7.6,6.9,4.7,470.1,510.1,203.2,354.0129718875502
West Bengal,5769,5711,5500,4927.0,3.9,3.8,3.6,3.3,6.1,6.0,5.7,5.1,7.7,6.7,5.6,0.9,179.1,173.5,110.6,678.1291917248016
Andaman and Nicobar Islands,21,19,20,14.0,0.0,0.0,0.0,0.0,3.7,3.3,3.4,2.3,1.7,1.4,1.4,0.5,129.9,105.9,404.3,103.20413793103448
Chandigarh,107,98,104,53.0,0.1,0.1,0.1,0.0,5.8,5.0,5.1,2.5,1.2,1.0,1.0,2.4,379.3,385.9,432.5,331.9304054054054
Dadra and Nagar Haveli,43,54,49,64.0,0.0,0.0,0.0,0.0,9.8,11.9,10.5,13.2,3.9,4.6,4.0,1.0,362.3,454.9,904.7,1713.5327731092436
Delhi,1584,1690,1463,1196.0,1.1,1.1,1.0,0.8,7.2,7.5,6.3,5.0,1.5,1.6,1.3,3.7,885.8,960.4,83.0,204.93992353904972
Lakshadweep,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,44.6,0.0,0.0
Puducherry,233,226,147,145.0,0.2,0.1,0.1,0.1,13.4,12.6,7.9,7.5,2.5,2.3,1.4,1.3,718.7,526.5,342.3,536.5284592737978
Total ,147877,151382,151085,131714.0,99.99999999999999,99.89999999999998,99.99999999999999,87.6,359.8437359999999,366.46373400000004,351.895054,296.060793,190.1,187.6,166.10000000000002,4.2,9820.3,9829.6,292.7,312.8727032063374
