States/UTs,Drivers - Persons Killed,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,1728.0,950.0,2385.0,3335,684.0,573.0,1686.0,2259
Arunachal Pradesh,9.0,7.0,5.0,12,6.0,3.0,4.0,7
Assam,360.0,495.0,40.0,535,179.0,288.0,34.0,322
Bihar,238.0,267.0,1.0,268,149.0,183.0,1.0,184
Chhattisgarh,2198.0,673.0,2470.0,3143,622.0,351.0,1828.0,2179
Goa,90.0,13.0,75.0,88,25.0,41.0,130.0,171
Gujarat,1498.0,1466.0,668.0,2134,608.0,794.0,558.0,1352
Haryana,365.0,241.0,329.0,570,82.0,116.0,89.0,205
Himachal Pradesh,70.0,193.0,252.0,445,20.0,43.0,82.0,125
Jammu and Kashmir,35.0,49.0,232.0,281,28.0,80.0,156.0,236
Jharkhand,754.0,528.0,151.0,679,604.0,406.0,65.0,471
Karnataka,1892.0,2735.0,2077.0,4812,741.0,1531.0,1625.0,3156
Kerala,297.0,459.0,106.0,565,252.0,1185.0,773.0,1958
Madhya Pradesh,2646.0,1349.0,8622.0,9971,1287.0,885.0,5593.0,6478
Maharashtra,3368.0,2865.0,1112.0,3977,1510.0,1962.0,663.0,2625
Manipur,21.0,11.0,68.0,79,8.0,15.0,62.0,77
Meghalaya,7.0,7.0,0.0,7,6.0,8.0,1.0,9
Mizoram,1.0,2.0,1.0,3,2.0,0.0,0.0,0
Nagaland,6.0,12.0,3.0,15,2.0,12.0,20.0,32
Orissa,767.0,794.0,378.0,1172,503.0,657.0,482.0,1139
Punjab,495.0,195.0,107.0,302,215.0,155.0,68.0,223
Rajasthan,1844.0,896.0,1817.0,2713,969.0,584.0,1481.0,2065
Sikkim,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Tamil Nadu,2011.0,675.0,10274.0,10949,561.0,203.0,3162.0,3365
Telangana,2004.0,566.0,3271.0,3837,841.0,250.0,2239.0,2489
Tripura,39.0,76.0,1.0,77,10.0,57.0,2.0,59
Uttarakhand,103.0,85.0,5.0,90,74.0,65.0,9.0,74
Uttar Pradesh,3808.0,2602.0,1675.0,4277,2131.0,1621.0,1004.0,2625
West Bengal,524.0,437.0,736.0,1173,95.0,54.0,131.0,185
Andaman and Nicobar Islands,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Chandigarh,6.0,2.0,4.0,6,2.0,2.0,6.0,8
Dadra and Nagar Haveli,32.0,20.0,6.0,26,6.0,12.0,9.0,21
Delhi,61.0,16.0,109.0,125,45.0,11.0,107.0,118
Lakshadweep,0.0,0.0,1.0,1,0.0,0.0,0.0,0
Puducherry,33.0,161.0,278.0,439,12.0,19.0,51.0,70
Total,27310.0,18847.0,37259.0,56106,12279.0,12166.0,22121.0,34287
