States/UTs,Valid Permanent License,Learner's Licence,Without Licence,Others(Not known),Total Accidents
Andhra Pradesh,13324.0,1100.0,2828.0,2257.0,19509
Arunachal Pradesh,69.0,21.0,26.0,18.0,134
Assam,4511.0,886.0,422.0,776.0,6595
Bihar,7250.0,540.0,75.0,774.0,8639
Chhattisgarh,7019.0,662.0,1422.0,2553.0,11656
Goa,2265.0,2.0,57.0,51.0,2375
Gujarat,10433.0,655.0,791.0,1519.0,13398
Haryana,3710.0,90.0,132.0,5499.0,9431
Himachal Pradesh ,1410.0,22.0,645.0,162.0,2239
Jammu and Kashmir,3368.0,49.0,91.0,1352.0,4860
Jharkhand,1418.0,481.0,821.0,1685.0,4405
Karnataka,27568.0,649.0,3674.0,2287.0,34178
Kerala,21380.0,80.0,713.0,5704.0,27877
Madhya Pradesh,33434.0,2226.0,4177.0,5429.0,45266
Maharashtra,21893.0,529.0,905.0,1644.0,24971
Manipur,255.0,88.0,28.0,61.0,432
Meghalaya,134.0,3.0,13.0,64.0,214
Mizoram,32.0,11.0,8.0,2.0,53
Nagaland,185.0,68.0,36.0,211.0,500
Orissa,6594.0,713.0,1102.0,1408.0,9817
Punjab,2882.0,931.0,796.0,594.0,5203
Rajasthan,16634.0,343.0,372.0,1765.0,19114
Sikkim,96.0,26.0,16.0,0.0,138
Tamil Nadu,35850.0,1489.0,6174.0,1971.0,45484
Telangana,14763.0,275.0,1049.0,3085.0,19172
Tripura,435.0,19.0,12.0,0.0,466
Uttarakhand,805.0,15.0,6.0,215.0,1041
Uttar Pradesh,17506.0,4648.0,5270.0,6819.0,34243
West Bengal,5122.0,251.0,2788.0,1019.0,9180
Andaman and Nicobar Islands,136.0,0.0,5.0,0.0,141
Chandigarh,155.0,0.0,4.0,0.0,159
Dadra and Nagar Haveli,78.0,1.0,6.0,15.0,100
Delhi ,2366.0,80.0,116.0,1616.0,4178
Lakshadweep,1.0,0.0,0.0,0.0,1
Puducherry,608.0,24.0,274.0,63.0,969
Total,263689.0,16977.0,34854.0,50618.0,366138
