States/UTs,06-900hrs - Day,09-1200hrs - Day,12-1500hrs - Day,15-1800hrs - Day,18-2100hrs - Night,21-2400hrs - Night,00-300hrs - Night,03-600hrs - Night,Unknown Time,Total Accidents
Andhra Pradesh,2379.0,2955.0,2939.0,3800.0,4152.0,1575.0,607.0,1065.0,37.0,19509
Arunachal Pradesh,18.0,24.0,16.0,8.0,8.0,8.0,18.0,15.0,19.0,134
Assam,764.0,1186.0,1073.0,1108.0,969.0,677.0,410.0,344.0,64.0,6595
Bihar,1425.0,1621.0,1227.0,1379.0,1195.0,487.0,105.0,1165.0,35.0,8639
Chhattisgarh,1043.0,1691.0,1941.0,2454.0,2683.0,1130.0,308.0,406.0,0.0,11656
Goa,197.0,351.0,327.0,411.0,461.0,296.0,169.0,157.0,6.0,2375
Gujarat,1421.0,2067.0,2144.0,2300.0,2824.0,1366.0,655.0,609.0,12.0,13398
Haryana,1019.0,1182.0,1225.0,1429.0,1855.0,1041.0,591.0,613.0,476.0,9431
Himachal Pradesh,189.0,321.0,303.0,437.0,547.0,257.0,108.0,77.0,0.0,2239
Jammu and Kashmir,502.0,862.0,1016.0,1126.0,893.0,276.0,87.0,92.0,6.0,4860
Jharkhand,580.0,748.0,641.0,610.0,595.0,395.0,275.0,308.0,253.0,4405
Karnataka,3580.0,4939.0,5134.0,5894.0,7557.0,3614.0,1576.0,1616.0,268.0,34178
Kerala,3298.0,5238.0,4409.0,5667.0,6028.0,1938.0,549.0,707.0,43.0,27877
Madhya Pradesh,3666.0,6200.0,7468.0,8845.0,9618.0,5219.0,2029.0,1580.0,641.0,45266
Maharashtra,2617.0,3509.0,3763.0,4167.0,4607.0,2973.0,1610.0,1463.0,262.0,24971
Manipur,57.0,71.0,67.0,96.0,88.0,38.0,7.0,5.0,3.0,432
Meghalaya,27.0,19.0,29.0,35.0,43.0,32.0,15.0,14.0,0.0,214
Mizoram,3.0,7.0,7.0,12.0,11.0,7.0,3.0,3.0,0.0,53
Nagaland,50.0,46.0,47.0,65.0,102.0,92.0,48.0,50.0,0.0,500
Orissa,933.0,1432.0,1640.0,1920.0,1890.0,922.0,428.0,545.0,107.0,9817
Punjab,561.0,694.0,670.0,791.0,1000.0,628.0,398.0,348.0,113.0,5203
Rajasthan,1770.0,2715.0,3253.0,3860.0,3879.0,1876.0,889.0,721.0,151.0,19114
Sikkim,13.0,13.0,16.0,25.0,16.0,31.0,11.0,13.0,0.0,138
Tamil Nadu,5186.0,6864.0,6853.0,7751.0,10751.0,4108.0,1906.0,2060.0,5.0,45484
Telangana,1974.0,2705.0,3031.0,3604.0,4099.0,2012.0,799.0,876.0,72.0,19172
Tripura,46.0,99.0,85.0,110.0,70.0,43.0,8.0,4.0,1.0,466
Uttarakhand,84.0,124.0,185.0,188.0,198.0,119.0,20.0,35.0,88.0,1041
Uttar Pradesh,4486.0,4659.0,4539.0,4987.0,5178.0,3579.0,2633.0,3018.0,1164.0,34243
West Bengal,953.0,1433.0,1343.0,1444.0,1420.0,844.0,1150.0,593.0,0.0,9180
Andaman and Nicobar Is.,10.0,14.0,28.0,29.0,41.0,15.0,1.0,3.0,0.0,141
Chandigarh,15.0,12.0,14.0,24.0,41.0,39.0,8.0,6.0,0.0,159
Dadra and Nagar Haveli,8.0,10.0,16.0,22.0,18.0,19.0,3.0,2.0,2.0,100
Delhi,449.0,573.0,511.0,547.0,644.0,649.0,462.0,280.0,63.0,4178
Lakshadweep,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Puducherry,112.0,112.0,130.0,118.0,126.0,126.0,117.0,128.0,0.0,969
Total,39435.0,54496.0,56090.0,65263.0,73607.0,36432.0,18003.0,18921.0,3891.0,366138
