States/UTs,Sunny/Clear - Total Accidents,Sunny/Clear - Persons Killed,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Andhra Pradesh,14836.0,5325.0,3158.0,11897.0,15055,1376.0,500.0,467.0,956.0,1423,1563.0,639.0,518.0,1056.0,1574,124.0,39.0,33.0,124.0,157,1610.0,536.0,612.0,854.0,1466
Arunachal Pradesh,36.0,19.0,26.0,15.0,41,26.0,15.0,28.0,16.0,44,28.0,16.0,18.0,19.0,37,30.0,18.0,30.0,20.0,50,14.0,5.0,7.0,6.0,13
Assam,2792.0,1168.0,1867.0,208.0,2075,1414.0,494.0,1052.0,112.0,1164,1033.0,401.0,686.0,104.0,790,168.0,45.0,135.0,19.0,154,1188.0,521.0,962.0,124.0,1086
Bihar,4436.0,3501.0,3369.0,102.0,3471,1945.0,1476.0,1655.0,46.0,1701,2258.0,1722.0,1763.0,81.0,1844,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Chhattisgarh,8426.0,3212.0,1171.0,6473.0,7644,1376.0,482.0,193.0,979.0,1172,385.0,175.0,54.0,252.0,306,26.0,11.0,8.0,16.0,24,1443.0,726.0,245.0,1114.0,1359
Goa,2185.0,201.0,181.0,622.0,803,190.0,22.0,21.0,56.0,77,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Gujarat,11348.0,5286.0,6090.0,4000.0,10090,1332.0,561.0,693.0,571.0,1264,354.0,150.0,219.0,150.0,369,364.0,173.0,189.0,90.0,279,0.0,0.0,0.0,0.0,0
Haryana,3771.0,1832.0,786.0,2146.0,2932,1300.0,597.0,355.0,767.0,1122,1892.0,912.0,424.0,1063.0,1487,171.0,80.0,158.0,27.0,185,2297.0,1086.0,514.0,1419.0,1933
Himachal Pradesh,2028.0,787.0,958.0,1947.0,2905,98.0,49.0,33.0,110.0,143,16.0,9.0,8.0,5.0,13,13.0,10.0,13.0,21.0,34,84.0,38.0,39.0,89.0,128
Jammu and Kashmir,3440.0,455.0,2511.0,1538.0,4049,161.0,24.0,86.0,118.0,204,52.0,4.0,39.0,28.0,67,21.0,2.0,19.0,4.0,23,1186.0,243.0,722.0,829.0,1551
Jharkhand,1828.0,1353.0,961.0,262.0,1223,737.0,457.0,423.0,104.0,527,623.0,409.0,326.0,110.0,436,250.0,154.0,123.0,140.0,263,967.0,671.0,694.0,152.0,846
Karnataka,28928.0,8390.0,14995.0,18421.0,33416,3926.0,995.0,2237.0,2343.0,4580,1319.0,375.0,707.0,778.0,1485,5.0,0.0,3.0,8.0,11,0.0,0.0,0.0,0.0,0
Kerala,23945.0,2353.0,19279.0,7096.0,26375,2799.0,427.0,2083.0,883.0,2966,1060.0,182.0,793.0,292.0,1085,73.0,17.0,69.0,15.0,84,0.0,0.0,0.0,0.0,0
Madhya Pradesh,28497.0,6883.0,3483.0,25271.0,28754,5323.0,1420.0,912.0,4834.0,5746,3432.0,840.0,687.0,3006.0,3693,538.0,103.0,125.0,435.0,560,7476.0,1895.0,819.0,6884.0,7703
Maharashtra,23945.0,11061.0,13301.0,5720.0,19021,700.0,346.0,460.0,133.0,593,313.0,152.0,205.0,87.0,292,13.0,10.0,5.0,3.0,8,0.0,0.0,0.0,0.0,0
Manipur,284.0,71.0,145.0,308.0,453,73.0,29.0,19.0,77.0,96,57.0,20.0,28.0,57.0,85,3.0,2.0,9.0,0.0,9,15.0,5.0,15.0,5.0,20
Meghalaya,65.0,44.0,35.0,7.0,42,11.0,9.0,5.0,5.0,10,30.0,23.0,18.0,4.0,22,0.0,0.0,0.0,0.0,0,108.0,68.0,79.0,67.0,146
Mizoram,35.0,19.0,9.0,18.0,27,12.0,17.0,10.0,10.0,20,5.0,5.0,1.0,15.0,16,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,4.0,5
Nagaland,203.0,26.0,40.0,96.0,136,129.0,11.0,18.0,43.0,61,111.0,8.0,25.0,40.0,65,50.0,3.0,5.0,12.0,17,7.0,5.0,4.0,3.0,7
Orissa,6471.0,3186.0,3222.0,2523.0,5745,1220.0,573.0,707.0,381.0,1088,895.0,414.0,484.0,314.0,798,297.0,98.0,189.0,77.0,266,934.0,467.0,632.0,293.0,925
Punjab,2422.0,1888.0,801.0,566.0,1367,561.0,437.0,186.0,166.0,352,1041.0,734.0,353.0,216.0,569,208.0,158.0,45.0,18.0,63,971.0,681.0,352.0,201.0,553
Rajasthan,16579.0,7989.0,3805.0,10670.0,14475,202.0,67.0,45.0,119.0,164,501.0,257.0,122.0,432.0,554,45.0,19.0,10.0,30.0,40,1787.0,918.0,822.0,714.0,1536
Sikkim,66.0,24.0,36.0,46.0,82,32.0,11.0,21.0,38.0,59,25.0,7.0,22.0,22.0,44,15.0,5.0,12.0,21.0,33,0.0,0.0,0.0,0.0,0
Tamil Nadu,36926.0,6336.0,2523.0,38686.0,41209,4673.0,903.0,549.0,4587.0,5136,1798.0,399.0,398.0,1709.0,2107,252.0,36.0,63.0,192.0,255,1835.0,385.0,185.0,1659.0,1844
Telangana,15734.0,5742.0,2103.0,13309.0,15412,46.0,15.0,5.0,36.0,41,277.0,129.0,71.0,173.0,244,8.0,9.0,0.0,12.0,12,3107.0,987.0,146.0,2806.0,2952
Tripura,393.0,148.0,377.0,8.0,385,29.0,21.0,30.0,1.0,31,26.0,14.0,38.0,2.0,40,0.0,0.0,0.0,0.0,0,18.0,9.0,14.0,0.0,14
Uttarakhand,767.0,517.0,469.0,165.0,634,145.0,77.0,99.0,8.0,107,58.0,43.0,51.0,10.0,61,18.0,11.0,12.0,1.0,13,53.0,26.0,38.0,1.0,39
Uttar Pradesh,12860.0,7266.0,5225.0,3169.0,8394,5633.0,3021.0,2463.0,1415.0,3878,6700.0,3705.0,2750.0,1584.0,4334,2046.0,1079.0,983.0,542.0,1525,7004.0,4078.0,2648.0,1631.0,4279
West Bengal,4579.0,2342.0,3715.0,475.0,4190,295.0,157.0,270.0,23.0,293,463.0,286.0,391.0,67.0,458,14.0,13.0,9.0,0.0,9,3829.0,2129.0,2945.0,419.0,3364
Andaman and Nicobar Island,122.0,14.0,48.0,73.0,121,19.0,0.0,7.0,17.0,24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Chandigarh,152.0,46.0,14.0,131.0,145,1.0,1.0,0.0,0.0,0,6.0,6.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Dadra and Nagar Haveli,42.0,29.0,25.0,46.0,71,24.0,12.0,24.0,5.0,29,26.0,17.0,10.0,6.0,16,0.0,0.0,0.0,0.0,0,8.0,6.0,3.0,0.0,3
Delhi,2385.0,651.0,106.0,1965.0,2071,265.0,36.0,17.0,308.0,325,194.0,31.0,13.0,204.0,217,0.0,0.0,0.0,0.0,0,1334.0,478.0,76.0,973.0,1049
Lakshadweep,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Puducherry,519.0,75.0,253.0,354.0,607,88.0,21.0,21.0,91.0,112,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,362.0,49.0,36.0,264.0,300
Total,261046.0,88239.0,95087.0,158334.0,253421,36161.0,13283.0,15194.0,19358.0,34552,26541.0,12084.0,11222.0,11889.0,23111,4752.0,2095.0,2247.0,1827.0,4074,37638.0,16013.0,12610.0,20511.0,33121
