States/UTs,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female,Total - Male,Total - Female
Andhra Pradesh,322.0,90.0,1017.0,131.0,1424.0,220.0,1329.0,231.0,1158.0,272.0,617.0,174.0,42.0,12.0,5909,1130
Arunachal Pradesh,4.0,1.0,18.0,7.0,16.0,6.0,11.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,52,21
Assam,188.0,51.0,634.0,100.0,614.0,112.0,535.0,68.0,221.0,30.0,39.0,14.0,23.0,0.0,2254,375
Bihar,467.0,174.0,1340.0,245.0,1447.0,261.0,1295.0,220.0,823.0,148.0,238.0,41.0,0.0,0.0,5610,1089
Chhattisgarh,185.0,51.0,919.0,90.0,1224.0,119.0,850.0,102.0,619.0,94.0,214.0,54.0,74.0,11.0,4085,521
Goa,6.0,2.0,39.0,6.0,65.0,4.0,46.0,3.0,25.0,6.0,17.0,4.0,0.0,0.0,198,25
Gujarat,207.0,81.0,1065.0,113.0,1570.0,209.0,1346.0,189.0,833.0,125.0,269.0,45.0,105.0,13.0,5395,775
Haryana,208.0,37.0,847.0,60.0,966.0,57.0,673.0,38.0,398.0,38.0,272.0,26.0,815.0,72.0,4179,328
Himachal Pradesh,33.0,21.0,182.0,12.0,223.0,12.0,153.0,15.0,118.0,32.0,66.0,26.0,0.0,0.0,775,118
Jammu and Kashmir,28.0,13.0,177.0,18.0,192.0,32.0,128.0,20.0,62.0,10.0,15.0,4.0,29.0,0.0,631,97
Jharkhand,193.0,0.0,569.0,63.0,747.0,58.0,661.0,55.0,253.0,48.0,129.0,8.0,236.0,24.0,2788,256
Karnataka,232.0,77.0,1947.0,188.0,2342.0,267.0,1997.0,251.0,1485.0,245.0,617.0,112.0,0.0,0.0,8620,1140
Kerala,57.0,30.0,389.0,17.0,414.0,27.0,349.0,57.0,655.0,158.0,598.0,147.0,65.0,16.0,2527,452
Madhya Pradesh,531.0,186.0,2095.0,311.0,2750.0,392.0,2116.0,344.0,1274.0,246.0,393.0,96.0,352.0,55.0,9511,1630
Maharashtra,205.0,63.0,1553.0,116.0,2979.0,302.0,3114.0,356.0,1954.0,281.0,464.0,112.0,64.0,6.0,10333,1236
Manipur,8.0,1.0,29.0,2.0,45.0,6.0,16.0,3.0,10.0,5.0,1.0,1.0,0.0,0.0,109,18
Meghalaya,9.0,3.0,26.0,5.0,52.0,3.0,23.0,1.0,15.0,1.0,6.0,0.0,0.0,0.0,131,13
Mizoram,8.0,1.0,7.0,2.0,7.0,0.0,6.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,34,8
Nagaland,4.0,0.0,15.0,3.0,12.0,0.0,12.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,47,6
Orissa,187.0,32.0,1006.0,90.0,1302.0,117.0,940.0,110.0,578.0,71.0,160.0,19.0,122.0,4.0,4295,443
Punjab,163.0,26.0,778.0,126.0,985.0,132.0,692.0,92.0,501.0,55.0,235.0,16.0,84.0,13.0,3438,460
Rajasthan,326.0,70.0,2181.0,226.0,2523.0,340.0,1852.0,234.0,1039.0,122.0,203.0,26.0,105.0,3.0,8229,1021
Sikkim,3.0,0.0,11.0,4.0,10.0,7.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,34,13
Tamil Nadu,284.0,101.0,1185.0,176.0,1534.0,265.0,1501.0,260.0,1424.0,301.0,771.0,207.0,45.0,5.0,6744,1315
Telangana,327.0,72.0,1073.0,153.0,1587.0,227.0,1450.0,181.0,1082.0,190.0,450.0,81.0,7.0,2.0,5976,906
Tripura,7.0,4.0,41.0,4.0,66.0,6.0,28.0,1.0,24.0,4.0,5.0,2.0,0.0,0.0,171,21
Uttarakhand,22.0,6.0,125.0,13.0,199.0,29.0,126.0,16.0,78.0,12.0,34.0,7.0,7.0,0.0,591,83
Uttar Pradesh,1063.0,199.0,4241.0,748.0,4269.0,612.0,3499.0,453.0,2141.0,276.0,757.0,104.0,678.0,109.0,16648,2501
West Bengal,203.0,76.0,732.0,56.0,1123.0,100.0,839.0,103.0,909.0,189.0,323.0,94.0,150.0,30.0,4279,648
Andaman and Nicobar Islands,2.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12,2
Chandigarh,4.0,2.0,3.0,0.0,15.0,2.0,10.0,2.0,8.0,1.0,6.0,0.0,0.0,0.0,46,7
Dadra and Nagar Haveli,3.0,0.0,8.0,1.0,27.0,0.0,12.0,2.0,5.0,0.0,3.0,0.0,3.0,0.0,61,3
Delhi,29.0,6.0,207.0,19.0,236.0,15.0,297.0,23.0,220.0,23.0,42.0,3.0,60.0,16.0,1091,105
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Puducherry,2.0,2.0,37.0,7.0,34.0,4.0,26.0,1.0,23.0,1.0,8.0,0.0,0.0,0.0,130,15
Total ,5520.0,1478.0,24500.0,3112.0,31003.0,3944.0,25940.0,3439.0,17947.0,2991.0,6956.0,1424.0,3067.0,393.0,114933,16781
